Date,Max_Temperature,Min_Temperature,Humidity,Rainfall,Dengue_Cases,Population,Population_Density,Altitude,Health_Facilities,Mosquito_Abundance
2021-07-19,31,24,83,2,13,867529,433,840,30,116
2020-08-12,38,13,79,3,11,484266,253,25,1,155
2022-08-26,25,20,76,12,3,592621,420,860,44,176
2020-01-30,36,20,74,20,3,949471,363,98,42,130
2023-07-15,29,23,54,5,48,365812,175,151,37,90
2023-11-21,20,19,75,0,11,256992,197,720,10,142
2022-12-08,26,30,85,8,29,419205,231,592,33,176
2022-04-02,25,23,89,16,41,834806,163,528,28,97
2022-08-23,37,28,74,20,0,668419,189,737,27,184
2023-09-20,25,29,66,3,11,321367,109,944,2,132
2020-12-14,22,22,62,8,31,920353,112,72,4,57
2023-07-15,24,18,57,0,47,592774,326,362,3,105
2023-01-07,22,17,50,8,47,140621,276,487,26,187
2022-08-21,33,11,79,0,35,828967,238,43,9,71
2023-07-01,29,28,79,15,26,529037,460,729,20,190
2023-11-17,40,14,52,3,17,537297,339,965,48,193
2022-05-29,23,27,51,15,38,651444,169,698,9,51
2023-07-15,23,28,55,0,1,668066,255,584,32,124
2020-12-02,26,19,70,3,43,510561,396,303,49,93
2022-12-01,32,18,84,13,41,529777,120,636,20,138
2021-07-26,37,28,68,7,34,682442,254,729,23,103
2021-06-19,29,16,73,11,24,376721,446,3,43,198
2020-09-26,29,28,73,19,48,143234,100,352,36,82
2023-01-02,37,21,52,0,17,479593,130,260,43,190
2021-11-22,38,25,64,11,28,974100,186,945,28,141
2021-10-07,34,21,72,12,16,671192,430,214,7,189
2020-09-25,35,23,84,1,35,816792,436,361,14,95
2022-11-13,28,14,86,7,5,531144,395,526,9,85
2023-01-26,35,19,73,1,19,530483,59,408,34,152
2022-03-17,29,16,86,1,20,396971,93,678,15,164
2022-12-05,29,25,57,2,40,944208,225,47,49,126
2021-11-16,21,17,83,20,5,374969,390,479,36,134
2020-01-23,25,16,59,3,28,792401,279,488,2,82
2021-07-17,28,13,62,11,34,330497,393,499,42,102
2022-01-26,24,11,86,19,11,499750,140,947,7,188
2022-12-16,23,14,64,17,35,713486,337,595,19,51
2022-04-18,40,14,79,4,11,167136,103,459,47,163
2023-04-19,33,13,83,3,11,872933,218,182,43,196
2020-01-18,21,20,59,20,5,771523,388,260,37,124
2021-10-14,23,15,86,4,4,379969,58,952,36,179
2021-12-26,22,25,64,4,0,510594,474,726,12,113
2023-11-13,35,14,60,3,22,336487,358,646,30,75
2023-11-23,37,12,84,4,3,128536,54,539,3,132
2022-10-02,33,20,72,10,44,158346,465,314,21,78
2022-09-14,36,21,72,9,27,170660,209,772,43,111
2023-06-05,33,26,80,7,46,378286,428,434,8,104
2021-03-04,22,10,56,10,33,849093,453,607,28,169
2022-06-16,26,18,53,17,28,245279,50,435,2,158
2023-01-28,37,24,89,3,40,680365,490,87,37,143
2020-09-24,23,21,70,19,9,170381,208,341,6,138
2020-05-08,40,14,53,20,41,308185,151,540,35,141
2020-05-15,31,27,74,20,0,218651,288,908,14,88
2022-08-03,28,13,74,5,42,434508,313,507,14,108
2022-06-08,22,30,50,3,18,407306,398,598,35,147
2020-07-27,38,13,79,4,26,898614,321,377,34,181
2023-05-19,39,20,59,18,17,410129,89,181,37,80
2021-02-20,36,23,79,20,34,218107,464,240,12,156
2022-09-27,25,30,51,20,16,918185,316,274,4,71
2020-02-24,36,15,77,16,30,289608,429,72,13,193
2020-10-01,23,25,67,9,41,900083,190,871,48,175
2023-05-11,25,25,62,18,20,281697,460,629,3,64
2021-04-20,26,21,65,18,43,411890,481,501,38,97
2021-11-18,32,10,79,1,10,579569,369,134,41,109
2022-09-02,24,25,89,9,3,950328,132,206,47,159
2020-01-19,27,11,81,0,29,322919,137,439,10,148
2020-05-05,33,27,83,16,21,408489,294,337,45,178
2021-08-21,30,25,86,12,12,929303,194,295,43,125
2022-03-26,29,13,82,2,38,475811,391,142,23,137
2022-04-18,30,24,81,3,9,761154,67,346,6,169
2021-11-26,38,21,68,2,37,709097,386,956,40,88
2022-08-29,34,12,82,11,11,893237,301,899,27,108
2021-01-27,32,21,86,4,17,937401,67,341,21,171
2023-08-24,32,18,85,14,49,463681,373,602,6,184
2020-02-27,21,25,57,5,15,428176,223,695,21,70
2020-03-11,28,18,76,13,28,805128,105,189,30,151
2022-02-17,32,22,68,17,47,879939,333,937,22,89
2023-08-15,34,23,82,10,27,940107,253,842,40,152
2021-06-06,33,19,65,2,24,118322,144,799,13,149
2023-09-16,33,16,61,1,14,846199,239,118,43,55
2021-01-13,21,15,55,20,29,467268,495,84,42,132
2021-09-01,26,24,66,5,4,842203,145,508,37,183
2021-02-25,35,20,62,3,13,583557,318,789,30,129
2020-12-13,37,28,90,16,49,629388,71,278,49,118
2021-03-16,36,28,64,1,50,389188,463,880,13,105
2020-04-05,36,29,56,20,45,452995,384,525,50,108
2020-08-06,30,10,85,1,45,898309,331,345,27,135
2021-04-19,37,30,66,0,32,659071,320,630,50,165
2022-05-14,21,28,73,8,22,955555,325,257,31,65
2021-07-05,34,18,89,16,28,583300,177,983,46,133
2022-08-26,26,17,87,9,14,523814,422,251,41,95
2023-01-16,38,14,65,15,7,426490,101,398,36,137
2022-11-26,40,27,88,3,1,605396,446,281,8,68
2020-09-29,37,21,85,5,41,994671,104,958,35,123
2022-05-13,38,19,58,6,42,343269,447,221,18,120
2021-11-07,33,29,70,10,17,307319,497,760,38,113
2020-12-29,31,13,90,8,15,567003,246,657,15,163
2022-03-28,33,10,66,0,19,198262,197,696,19,103
2021-07-12,30,24,69,10,37,828639,151,193,8,152
2020-06-11,25,11,87,10,17,722059,334,327,5,144
2022-07-28,23,15,88,11,14,544142,125,716,24,85
2023-02-05,29,30,75,12,25,797778,344,469,23,115
2021-01-15,22,26,64,0,27,257374,464,245,2,154
2023-01-14,36,11,88,20,18,645270,446,233,26,59
2020-12-17,34,24,70,3,32,586811,407,698,16,88
2022-08-19,37,10,59,9,37,768088,201,609,35,170
2021-05-23,36,12,77,7,8,406832,201,898,4,169
2021-02-04,27,14,85,8,5,499400,121,234,35,110
2023-09-03,38,18,57,7,49,547390,355,219,25,161
2020-11-20,21,18,78,13,29,622313,119,665,27,191
2023-06-03,31,15,52,17,7,769806,147,51,11,68
2023-08-06,26,30,78,5,49,403857,367,739,2,111
2020-04-21,29,27,78,9,28,907438,170,522,14,51
2020-11-08,27,21,68,17,27,652421,55,833,34,67
2022-12-10,28,19,61,4,4,159411,477,515,8,136
2022-10-13,39,24,84,20,12,922301,145,820,49,184
2023-09-15,23,25,59,2,47,315666,214,68,26,81
2023-11-14,29,16,83,11,48,703833,310,66,41,78
2023-05-14,24,24,65,17,7,592954,442,68,22,136
2022-06-13,29,20,74,2,17,288967,470,136,6,143
2021-03-20,40,25,58,13,25,317636,277,743,42,116
2023-08-27,37,17,65,5,4,148654,343,185,19,126
2021-03-27,31,12,90,0,37,808586,268,420,40,70
2020-11-28,40,29,82,9,34,328066,174,348,30,93
2021-11-04,23,12,70,18,8,962548,358,527,4,125
2020-12-31,33,10,53,8,42,793682,220,557,37,70
2021-03-13,33,14,59,1,0,608266,384,707,39,165
2021-05-10,27,17,90,15,24,503664,219,616,11,169
2021-01-07,23,14,53,15,40,461251,215,22,8,179
2021-09-02,27,25,71,8,21,938588,86,648,17,160
2023-05-27,39,10,53,20,32,825832,94,477,14,119
2020-09-02,24,26,89,1,30,827493,380,670,15,86
2023-05-02,24,19,75,20,19,468932,431,597,13,73
2021-12-22,34,22,77,11,16,436333,489,288,24,100
2020-12-02,40,10,67,13,39,510679,232,205,10,112
2020-08-16,21,12,70,14,1,879050,399,725,44,98
2020-05-02,40,11,70,20,46,443201,386,608,5,195
2021-12-24,37,29,78,19,18,203145,312,333,2,141
2023-09-06,35,26,85,11,15,798132,163,313,50,176
2022-04-02,22,19,56,7,48,752383,496,787,42,55
2023-08-24,21,28,61,15,15,392820,229,249,13,197
2021-09-23,29,17,63,1,8,418174,485,534,36,73
2022-02-07,27,19,63,11,12,535379,429,890,12,69
2020-04-01,29,21,55,6,11,752887,226,397,13,117
2020-04-12,33,24,64,17,20,481115,140,502,32,156
2021-11-16,25,18,90,20,17,968205,103,900,31,152
2023-05-27,22,24,53,11,10,285906,235,938,28,158
2021-09-25,23,21,85,15,22,971322,234,276,31,98
2020-04-06,22,25,61,4,9,765434,355,864,44,154
2021-10-29,40,14,85,14,38,185548,87,710,48,105
2022-08-18,27,15,61,0,19,406002,103,968,26,182
2023-08-24,22,21,65,4,8,936404,299,590,13,137
2020-09-18,36,12,73,2,38,619979,135,40,7,81
2021-05-14,27,30,59,10,46,748670,313,724,34,94
2023-10-20,27,21,52,19,48,949745,394,185,35,109
2022-03-28,40,25,66,6,8,755611,108,576,25,114
2020-11-03,34,11,69,5,17,368512,201,839,44,149
2022-03-09,20,24,75,0,50,653398,80,851,41,93
2021-05-01,35,15,82,19,11,744168,341,675,27,132
2020-02-08,32,11,74,2,18,663103,374,109,2,189
2021-11-04,33,17,62,3,22,562801,103,853,11,183
2021-02-07,37,29,58,5,6,204416,369,853,27,199
2022-04-11,33,18,82,15,14,432104,455,905,29,51
2021-06-05,35,13,76,11,7,176808,313,546,24,54
2021-01-19,27,24,51,20,41,782528,85,129,37,194
2021-03-01,30,27,50,1,22,901155,311,753,14,141
2023-08-12,30,19,79,18,27,210197,313,492,8,176
2023-07-31,23,23,73,3,46,499159,444,79,12,74
2021-03-12,30,24,60,16,16,416008,268,920,7,73
2023-09-13,30,11,64,18,48,146577,341,241,6,198
2021-05-20,20,23,76,20,36,616903,206,91,43,149
2022-01-01,29,21,50,15,18,703059,99,661,39,179
2023-03-06,31,18,81,19,49,505072,327,362,42,143
2022-03-02,34,19,61,2,38,815611,99,905,47,139
2020-07-31,21,19,83,1,49,729608,106,351,27,163
2020-10-07,24,19,71,14,41,280730,110,482,3,139
2023-09-30,27,24,83,13,6,733565,385,612,44,75
2021-12-24,21,13,56,0,14,165677,220,185,13,52
2021-09-03,25,24,62,15,22,472712,381,566,16,121
2022-06-16,26,28,60,18,21,943122,221,503,12,142
2021-06-17,36,14,87,15,20,412129,491,668,33,134
2023-01-28,30,28,78,19,11,713612,317,553,44,93
2020-08-09,32,23,59,6,9,846827,264,849,31,82
2021-06-10,36,25,50,9,21,480181,297,981,7,176
2022-09-03,30,11,56,18,1,432778,386,418,27,64
2023-04-15,31,28,76,10,8,478749,100,257,47,153
2021-11-02,31,14,66,11,39,988417,326,886,50,185
2022-06-26,37,28,70,6,37,976393,495,825,13,68
2022-08-12,22,27,52,1,31,628498,345,718,36,168
2020-12-17,36,23,73,15,11,424337,455,398,16,116
2022-11-11,25,21,69,3,11,969297,422,708,40,94
2020-09-07,24,18,81,16,29,262318,234,127,41,75
2020-08-21,36,29,87,1,9,982251,389,490,22,93
2020-12-18,29,25,87,6,29,100559,50,945,29,104
2023-01-05,40,16,84,4,39,399430,305,404,1,128
2020-04-17,23,27,52,16,46,150283,181,370,25,89
2022-08-14,23,27,68,19,31,826504,472,24,4,90
2020-09-22,25,26,50,2,36,660615,176,34,5,152
2022-06-01,20,13,56,6,15,618768,175,28,5,101
2021-05-18,27,13,74,16,3,166525,163,412,22,151
2021-04-21,23,16,79,4,2,968961,248,875,43,176
2022-02-14,35,30,56,18,35,499966,407,755,29,162
2022-03-01,31,23,88,1,24,978799,279,447,38,105
2023-03-18,31,22,83,6,45,127803,170,252,44,67
2021-08-26,20,15,51,10,22,432723,130,562,15,142
2021-11-04,28,13,63,2,0,717583,378,247,5,103
2020-01-13,26,29,63,18,1,247670,134,812,45,185
2021-10-16,34,28,79,3,7,244855,68,780,46,174
2021-10-20,31,12,56,15,45,340590,448,745,6,114
2021-11-05,40,21,70,12,26,974042,196,930,20,113
2020-11-08,23,15,50,3,2,924518,76,219,9,170
2020-03-12,31,16,68,15,17,689532,87,188,12,89
2021-08-09,31,16,70,2,37,650652,191,742,44,157
2023-07-16,36,18,58,10,2,865682,458,992,16,90
2020-11-26,21,23,89,2,25,828915,171,251,21,189
2021-11-27,34,12,76,5,18,362017,93,993,22,189
2021-12-10,34,21,61,19,42,339806,106,942,1,81
2023-11-11,23,12,78,1,33,294101,238,369,24,129
2022-06-05,24,30,55,10,38,724072,434,486,33,160
2022-06-14,29,21,84,1,1,329680,150,166,13,180
2022-03-14,26,29,83,2,46,347672,335,15,1,124
2022-03-29,35,11,71,0,6,171053,441,292,13,93
2023-05-20,35,20,62,1,40,873063,430,895,41,93
2020-07-01,35,21,65,13,3,163993,329,61,15,182
2022-03-12,31,25,61,12,12,419246,130,761,20,84
2023-02-12,40,15,82,17,3,720292,110,503,50,156
2022-03-27,25,24,77,2,4,414499,316,695,42,178
2020-06-19,21,17,57,12,18,937755,491,832,45,190
2023-06-18,25,13,83,15,46,478248,400,22,7,135
2021-05-24,38,13,81,5,11,504187,162,919,48,85
2020-01-08,26,17,86,15,46,369748,60,163,39,79
2021-12-22,21,18,56,12,39,468941,70,238,4,127
2020-08-22,25,27,75,0,32,837554,450,700,47,73
2020-06-13,27,26,74,1,11,627537,468,833,13,151
2023-04-02,20,18,66,12,49,647403,248,867,31,193
2020-04-03,31,28,68,7,10,205266,386,278,50,130
2020-06-28,26,19,75,15,34,590191,173,399,18,71
2020-06-25,29,18,72,8,17,284240,437,372,32,160
2021-04-19,30,10,83,8,16,632080,243,719,44,144
2023-02-03,36,18,80,20,8,331369,436,167,18,121
2020-11-19,31,26,80,8,30,826398,495,854,21,86
2022-06-23,31,29,64,15,10,127698,325,950,18,79
2022-01-09,29,27,50,13,46,495760,122,424,11,123
2021-08-16,36,24,80,3,22,481936,268,337,22,63
2023-05-18,22,20,87,7,34,127532,164,737,50,91
2023-01-10,34,13,62,17,43,837386,82,334,18,172
2022-12-20,27,22,58,20,40,237511,482,761,6,106
2023-05-14,25,14,67,15,30,544232,475,264,8,190
2022-05-03,30,22,89,12,30,913870,262,66,27,186
2023-07-21,37,17,61,14,4,832369,361,747,15,190
2020-07-13,23,16,78,8,21,878440,52,855,49,74
2023-07-10,36,18,77,3,22,471249,473,180,30,191
2021-08-12,39,23,58,15,42,133948,52,669,21,149
2020-08-18,35,13,79,12,50,804516,387,899,46,156
2023-11-24,32,23,78,9,46,903641,259,733,22,97
2022-11-14,28,12,77,19,34,878273,464,191,4,97
2022-02-24,40,16,81,19,4,127938,156,251,8,140
2020-02-04,33,29,51,8,2,828739,251,343,35,97
2021-11-27,31,23,66,5,15,376654,415,13,37,76
2022-04-23,34,22,66,15,22,508964,388,947,39,191
2022-05-25,22,19,79,0,20,695357,299,49,32,194
2020-07-11,29,18,59,10,33,688232,219,98,43,61
2023-06-04,20,29,78,14,19,452730,215,191,15,82
2020-09-06,33,24,68,19,10,967556,464,762,42,74
2020-09-07,22,12,68,12,19,152278,258,308,36,151
2023-07-07,24,22,73,18,33,242947,390,127,3,174
2022-02-10,34,22,69,13,12,329067,128,962,13,141
2020-02-27,22,12,59,7,22,363682,458,325,11,187
2020-09-30,21,19,74,6,22,819222,311,106,50,149
2020-11-06,32,25,59,0,45,879858,148,913,12,146
2021-12-02,35,11,63,15,25,853725,191,514,28,57
2020-10-13,34,28,67,9,21,581539,314,455,38,147
2022-03-12,40,27,68,15,11,861667,130,419,36,54
2023-11-06,29,12,90,2,12,504508,343,680,30,122
2020-08-25,34,27,70,15,2,616996,367,774,50,95
2020-07-25,35,23,61,13,33,736323,419,914,2,78
2021-09-04,28,19,76,20,29,498523,332,489,42,64
2021-08-22,20,24,69,15,31,191452,438,63,20,64
2021-02-19,28,30,62,9,6,645228,256,942,45,78
2022-02-21,29,11,80,14,7,747475,55,119,45,189
2022-05-07,35,28,57,3,7,991231,159,859,35,172
2020-11-27,28,28,58,2,45,510993,168,929,26,58
2021-05-10,32,22,65,0,31,403675,370,802,46,135
2020-03-04,25,14,70,4,33,296006,70,90,40,96
2020-05-09,24,27,57,18,19,967615,447,128,26,94
2022-07-18,30,14,61,10,17,344942,288,869,6,99
2023-06-21,35,25,77,7,48,543845,189,540,18,180
2020-01-15,31,16,60,17,48,670893,449,244,3,96
2021-05-11,35,20,81,5,38,831810,234,514,41,122
2023-09-26,23,15,67,3,45,756182,87,805,1,68
2021-10-30,36,30,68,16,14,541142,290,919,5,101
2020-07-22,23,13,71,19,39,513297,194,616,25,195
2022-05-10,37,26,78,1,12,894881,452,788,1,56
2021-05-10,21,23,56,3,11,982391,238,709,35,162
2022-07-31,29,12,63,7,13,555476,132,293,22,62
2021-07-10,39,18,77,9,28,525438,295,341,22,173
2020-10-11,30,20,50,4,5,976118,68,298,39,103
2020-01-05,25,11,69,16,43,480997,310,769,4,87
2021-12-27,32,25,75,9,11,313657,326,869,38,177
2022-07-08,40,11,60,20,39,579431,146,23,26,137
2022-09-02,21,25,87,15,32,453577,172,915,1,73
2020-09-08,34,25,84,7,13,183866,129,692,22,63
2022-09-03,33,16,53,7,36,329499,348,230,3,196
2020-03-11,32,11,64,14,44,231402,318,735,24,190
2023-02-19,38,30,66,12,33,964717,441,868,20,136
2022-12-16,40,20,63,19,17,161337,329,906,7,68
2022-07-30,26,25,66,13,25,122187,347,49,13,169
2022-10-13,37,20,82,1,9,176635,384,717,16,169
2021-09-27,35,27,77,15,24,192596,84,240,22,113
2022-07-26,23,28,58,19,0,315841,281,424,16,91
2022-06-28,25,21,75,8,44,599766,476,854,2,137
2022-02-11,37,16,76,0,21,306323,453,266,39,116
2023-05-01,36,12,61,0,27,774094,495,471,11,72
2020-03-16,28,10,71,0,23,167826,264,697,5,157
2021-03-07,36,24,69,0,10,532519,225,669,16,93
2020-11-28,29,15,57,0,37,260987,224,232,49,146
2020-04-03,38,16,89,4,8,928063,436,291,45,73
2022-09-09,29,10,74,0,18,501557,171,102,50,76
2022-02-24,26,17,59,0,42,614472,100,384,3,53
2021-05-28,34,24,74,6,19,685493,177,31,12,73
2020-11-10,38,19,70,2,44,622471,252,670,13,135
2023-09-25,31,10,89,7,49,830064,240,808,6,69
2021-11-07,26,21,83,5,11,154895,331,237,43,156
2021-05-10,31,24,57,18,23,766380,158,624,22,113
2021-07-05,24,28,65,9,20,206465,333,323,26,58
2020-07-07,39,13,71,18,24,432783,476,635,13,55
2020-11-10,23,27,52,10,4,612753,257,737,37,115
2022-08-25,32,23,90,15,46,146052,270,305,50,65
2022-09-26,20,21,83,16,0,469718,339,541,40,131
2020-06-23,27,14,72,12,26,513553,388,761,6,122
2021-07-05,38,27,90,9,5,114614,340,942,30,107
2022-12-02,31,25,65,5,19,860136,339,425,37,71
2022-10-07,28,26,88,7,47,683408,325,921,15,58
2020-03-04,26,16,79,19,1,457652,384,237,6,149
2022-04-13,26,18,76,11,50,421865,51,598,47,178
2020-04-07,22,23,65,7,34,892482,448,700,47,141
2020-07-14,29,30,60,9,18,669237,97,504,12,52
2021-05-06,32,30,60,13,47,640610,499,140,1,126
2021-12-11,31,12,82,11,30,253031,95,356,13,195
2023-10-16,20,12,84,11,27,880193,91,191,15,157
2022-02-02,34,14,75,10,7,537707,440,892,26,106
2022-03-12,35,11,81,18,15,122221,389,386,38,157
2023-10-30,38,21,56,14,26,545705,432,848,12,90
2023-08-20,26,19,80,13,39,529997,361,475,12,53
2022-08-16,32,19,70,17,41,459883,357,903,16,113
2021-05-16,23,16,83,10,20,140002,96,859,11,91
2021-08-10,27,25,75,5,33,943369,410,924,39,140
2023-07-15,26,19,81,13,14,884871,343,106,3,156
2022-01-02,33,27,77,14,50,693959,407,358,4,192
2020-06-11,39,26,80,10,21,645966,378,836,47,148
2021-09-02,21,13,50,8,37,475354,190,984,29,144
2020-01-12,40,19,87,20,0,860486,356,77,17,96
2022-06-10,29,24,51,6,21,704308,398,715,44,112
2020-03-30,31,16,74,6,18,411943,148,543,29,138
2021-07-19,33,29,61,7,27,892494,270,319,47,144
2022-03-15,20,15,81,1,10,916222,307,459,37,182
2021-05-22,27,10,83,13,26,903728,404,955,4,100
2020-02-16,25,25,88,5,33,349047,187,30,9,84
2020-08-11,28,27,67,6,2,147421,238,222,22,185
2021-03-28,33,22,63,6,28,934901,164,899,3,75
2022-10-18,21,13,60,12,21,941662,259,283,22,163
2021-08-08,28,29,55,7,15,346418,53,655,23,127
2020-08-09,34,27,73,20,15,869384,336,132,7,142
2020-05-07,35,23,67,3,40,826948,339,737,4,172
2020-06-30,26,27,74,7,40,557038,438,844,29,130
2022-05-27,35,19,90,5,19,637722,480,788,19,108
2022-10-10,33,16,85,14,40,436756,264,969,6,109
2022-11-14,30,11,85,12,1,866678,321,602,13,136
2020-05-25,22,11,51,5,7,470989,88,50,42,65
2021-12-15,39,13,72,4,26,270628,435,451,34,165
2023-04-14,22,29,70,10,30,717671,187,218,34,126
2022-07-31,26,27,59,15,1,105103,456,118,26,167
2020-01-05,21,30,64,19,26,702701,422,16,19,107
2023-04-02,22,15,51,5,2,831967,454,471,32,99
2020-05-20,27,13,90,6,46,450099,344,304,8,191
2021-10-04,35,21,74,19,13,274567,159,612,9,198
2020-03-26,31,11,69,1,29,751668,427,256,46,74
2020-03-01,28,24,68,11,32,200004,337,627,24,179
2022-06-05,32,22,76,5,14,345202,428,194,46,181
2023-03-29,34,28,66,10,22,924748,339,952,27,150
2023-07-20,26,11,89,17,46,975205,297,125,27,198
2022-07-19,40,29,53,5,37,150772,427,896,43,111
2021-02-15,39,26,57,15,24,145737,129,901,28,60
2022-10-31,23,17,73,18,12,526988,343,915,49,52
2022-02-20,22,17,64,3,15,291949,334,877,16,170
2021-09-04,35,10,67,8,22,443964,330,66,31,74
2023-03-02,20,14,64,12,41,837982,460,815,8,191
2020-12-02,30,14,57,15,35,697521,371,153,36,198
2023-10-18,24,11,87,20,19,829982,431,58,20,115
2021-05-07,23,13,69,7,21,123322,195,427,26,167
2021-01-15,34,14,72,2,38,595158,56,863,2,126
2020-06-02,21,11,85,12,50,950354,455,764,20,189
2020-11-07,23,22,50,2,16,456422,446,845,41,195
2020-07-03,24,13,70,11,29,696252,490,25,2,180
2020-03-06,28,23,90,2,11,594461,386,833,41,154
2020-09-27,30,29,62,15,46,797371,390,391,46,71
2021-09-04,32,11,57,2,43,900741,397,107,26,110
2021-07-06,23,19,89,13,24,793410,78,926,4,183
2020-05-29,25,11,56,3,43,254626,268,752,16,53
2021-03-26,29,21,52,11,40,349786,353,43,5,61
2021-07-02,36,26,90,15,50,957198,394,235,50,52
2021-03-20,36,10,72,10,6,947977,386,286,30,53
2021-09-01,27,26,58,19,31,907834,70,28,33,188
2022-05-03,20,15,80,20,46,461073,60,2,47,90
2020-03-26,34,27,75,6,17,972725,425,6,26,194
2021-08-01,28,25,65,15,8,746759,246,40,16,104
2020-06-01,27,19,58,19,18,643463,184,673,22,172
2022-11-09,26,13,67,17,48,734093,122,120,6,170
2020-09-15,27,16,75,10,20,949485,440,229,31,163
2022-12-26,26,25,51,18,6,731839,253,265,29,51
2021-03-29,33,26,77,19,37,541150,99,822,17,193
2022-04-14,24,10,50,13,42,844718,379,646,30,173
2022-11-20,21,20,71,9,37,114904,139,197,5,125
2020-05-31,39,24,51,15,40,826801,304,260,14,184
2022-04-24,37,21,55,8,6,698357,372,872,3,57
2020-09-21,28,11,58,3,5,631903,307,552,22,116
2022-12-13,20,20,75,18,9,671466,143,409,15,171
2021-03-10,33,16,52,14,23,330149,168,481,21,178
2021-02-24,28,30,66,14,7,106071,153,657,40,145
2022-10-02,35,19,77,18,2,219482,334,705,42,145
2022-08-03,34,16,69,4,39,256802,121,159,22,137
2021-01-24,30,15,81,6,12,637899,173,295,19,145
2022-06-28,20,18,82,15,15,604170,443,437,11,57
2021-12-05,25,22,77,10,7,101536,81,25,9,96
2020-06-02,35,23,51,15,30,777459,234,694,22,83
2021-10-04,30,23,74,16,11,272399,367,161,8,159
2021-12-20,29,12,64,3,33,916565,375,754,8,147
2020-08-01,32,21,52,12,2,671099,130,563,25,91
2023-07-02,31,12,75,1,47,603872,371,251,26,199
2023-06-28,21,11,75,18,18,357701,458,252,34,72
2022-10-09,25,23,85,6,33,128646,246,571,23,104
2022-05-24,21,15,56,16,7,316103,399,709,4,85
2022-11-25,39,11,86,7,13,233784,175,65,40,152
2021-09-20,22,15,60,8,45,459980,441,195,32,50
2020-06-04,38,26,88,3,1,468015,316,709,10,79
2023-09-30,26,15,64,9,29,695138,79,296,41,102
2021-03-17,24,23,58,10,21,250219,271,475,42,61
2021-08-16,32,23,88,4,17,142187,275,805,46,140
2022-08-02,23,16,89,9,18,543597,406,878,47,147
2022-02-12,33,12,89,1,20,255975,301,483,41,155
2022-03-08,29,15,57,4,23,467816,194,638,2,184
2020-10-26,28,30,72,3,2,174984,385,951,48,150
2023-02-04,37,17,68,4,42,821926,247,186,35,155
2023-11-17,30,17,73,6,20,391090,247,356,21,87
2022-02-13,25,23,84,1,3,248223,51,675,23,199
2021-01-05,25,18,68,9,28,554899,437,834,15,132
2020-05-11,25,25,73,10,50,696083,462,207,28,169
2022-05-02,32,15,89,1,4,874506,253,265,42,125
2020-08-14,25,28,70,12,21,359427,275,81,44,62
2021-01-05,20,24,54,8,37,863288,296,151,21,78
2022-05-22,31,22,70,11,37,315135,302,803,46,59
2023-08-01,25,13,69,5,5,831835,139,380,23,174
2023-05-19,40,22,55,12,49,853885,459,393,36,53
2022-10-24,35,18,90,6,17,323609,285,664,48,51
